zip_code,value,prediction
12194,-999.0,0
12194,-999.0,0
13489,0.0,0
13489,0.0,0
13167,-999.0,0
12196,0.0,0
13483,0.0,0
13483,0.0,0
12193,0.0,0
12193,0.0,0
13486,-999.0,0
13490,209.15,0
13493,-999.0,0
14172,-999.0,0
14172,-999.0,0
14172,-999.0,0
13697,-999.0,0
13494,-999.0,0
13494,-999.0,0
12197,-999.0,0
12198,-999.0,0
14591,-999.0,0
13495,441.434,0
13495,530.705,0
14001,2765.348,0
12210,3924.02,0
12205,18186.039,0
12222,-999.0,0
14004,-999.0,0
14004,-999.0,0
13301,39.521,0
14005,244.767,0
14005,289.02,0
14005,304.469,0
13607,1314.947,0
14706,2579.166,0
14706,2593.589,0
14708,-999.0,0
13302,28.414,0
13302,275.185,0
12069,-999.0,0
12069,-999.0,0
12502,11.348,0
14806,62.461,0
14006,2066.665,0
14006,1681.21,0
14009,-999.0,0
14011,-999.0,0
13021,-999.0,0
